Wall time,Step,Value
1701724613.0802562,4698,84.25
1701724627.9254034,4706,84.0
1701724628.7772765,4707,81.25
1701724633.9719362,4713,79.5
1701724636.5689178,4716,80.25
1701724648.532974,4730,79.5
1701724662.4881065,4737,77.25
1701724689.1587589,4759,87.0
1701724695.2382114,4766,82.75
1701724700.3767128,4772,80.0
1701724703.7987208,4776,82.75
1701724704.6418886,4777,77.0
1701724723.6323435,4790,82.25
1701724735.6421156,4804,85.0
1701724738.197463,4807,83.5
1701724748.6845274,4810,81.5
1701724750.4103413,4812,83.75
1701724752.13705,4814,81.25
1701724765.8323467,4830,86.75
1701724767.5425003,4832,82.5
1701724769.2216978,4834,84.75
1701724770.0879178,4835,80.75
1701724779.0553122,4836,81.75
1701724785.1161911,4843,82.5
1701724785.9978487,4844,84.5
1701724809.2989445,4862,80.75
1701724826.4328403,4882,85.75
1701724845.6823227,4895,85.5
1701724856.7683961,4908,84.5
1701724858.4598384,4910,81.75
1701724882.7142382,4929,81.0
1701724886.1053176,4933,91.5
1701724900.1337154,4940,85.75
1701724903.5333064,4944,85.25
1701724907.8225951,4949,82.5
1701724942.8354852,4980,82.5
1701724951.3602538,4990,84.75
1701724952.1992786,4991,82.0
1701724995.6850617,5023,81.5
1701725024.2707589,5047,83.5
1701725034.586028,5059,85.75
1701725036.287328,5061,86.0
1701725040.536857,5066,85.0
1701725059.5524967,5079,88.0
1701725060.396654,5080,84.25
1701725067.2052476,5088,85.0
1701725068.911927,5090,84.75
1701725073.1811168,5095,83.75
1701725121.163756,5132,82.5
1701725124.5938597,5136,87.25
1701725127.992021,5140,81.5
1701725133.94032,5147,84.75
1701725145.5224862,5151,81.0
1701725146.3712568,5152,84.75
1701725148.1030915,5154,84.5
1701725148.9898732,5155,84.5
1701725159.23266,5167,85.75
1701725184.1758828,5187,86.25
1701725193.5400872,5198,86.75
1701725203.7167764,5200,84.0
1701725208.0134633,5205,83.25
1701725209.7321718,5207,87.5
1701725214.007527,5212,82.75
1701725219.0871234,5218,85.0
1701725225.056909,5225,83.5
1701725244.9535067,5238,87.75
1701725265.438381,5253,86.25
1701725266.3362567,5254,82.25
1701725269.9848728,5258,82.25
1701725273.5142412,5262,82.0
1701725276.2168376,5265,77.25
1701725302.2096477,5286,83.0
1701725308.2093813,5293,76.0
1701725309.909511,5295,83.5
1701725311.615607,5297,80.5
1701725338.3712375,5318,79.75
1701725339.2110445,5319,79.5
1701725341.7660496,5322,79.75
1701725343.4415653,5324,82.0
1701725346.8445613,5328,84.25
1701725347.6800468,5329,81.5
1701725359.9429088,5334,80.0
1701725361.6741898,5336,81.0
1701725363.3784468,5338,79.5
1701725392.465107,5362,77.25
1701725397.62721,5368,84.25
1701725399.339891,5370,80.25
1701725426.8825011,5393,82.75
1701725434.52956,5402,83.0
1701725435.3727322,5403,76.0
1701725455.6639369,5417,79.75
1701725461.601754,5424,75.75
1701725465.0022473,5428,81.5
1701725487.9917722,5445,83.5
1701725489.7041104,5447,80.75
1701725493.9448645,5452,79.5
1701725495.6584587,5454,71.75
1701725498.2051642,5457,76.0
1701725499.9137316,5459,81.5
1701725517.603652,5470,77.5
1701725548.472658,5496,80.75
1701725555.2840893,5504,78.5
1701725559.5478203,5509,78.25
1701725560.420124,5510,77.25
1701725574.0952318,5517,85.25
1701725577.5219994,5521,77.75
1701725579.2206588,5523,81.75
1701725605.8279912,5545,78.0
1701725611.827329,5552,77.75
1701725616.0927036,5557,83.5
1701725632.3637447,5567,78.5
1701725642.6234412,5579,79.0
1701725671.7779126,5604,79.25
1701725721.2325664,5643,81.75
1701725729.9243195,5653,79.75
1701725741.8830311,5667,82.5
1701725754.6515932,5672,76.75
1701725767.8739667,5687,74.75
1701725792.2678504,5706,79.25
1701725798.321757,5713,74.75
1701725800.8749015,5716,79.75
1701725814.5981662,5723,79.75
1701725820.6640131,5730,78.5
1701725823.229995,5733,80.0
1701725829.208869,5740,75.5
1701725846.685518,5750,78.0
1701725848.3860667,5752,82.0
1701725850.9518034,5755,79.0
1701725851.7944515,5756,81.75
1701725852.6367667,5757,76.25
1701725853.5118818,5758,79.5
1701725859.4471917,5765,73.5
1701725873.116699,5772,76.0
1701725880.881569,5781,77.25
1701725887.7209077,5789,78.75
1701725912.3354108,5809,75.5
1701725939.8113213,5832,80.0
1701725954.315248,5849,82.75
1701725976.7793136,5866,79.5
1701725996.5263584,5879,81.25
1701725997.3793314,5880,81.5
1701725999.1151304,5882,81.75
1701726040.3593624,5921,85.0
1701726071.0624814,5948,81.5
1701726075.3300817,5953,80.25
1701726085.9960265,5956,81.25
1701726092.8475292,5964,86.75
1701726097.944898,5970,82.25
1701726115.3418026,5981,81.25
1701726123.0720408,5990,87.0
1701726129.0407472,5997,78.5
1701726134.12875,6003,84.75
1701726146.932923,6007,84.0
1701726148.6564562,6009,83.75
1701726149.5035157,6010,86.0
1701726183.4846745,6040,81.5
1701726186.9834504,6044,81.25
1701726187.8499124,6045,84.75
1701726194.8269897,6053,78.75
1701726222.4824395,6076,86.75
1701726224.1891367,6078,83.25
1701726225.0336106,6079,82.75
1701726242.555555,6090,86.75
1701726245.1367173,6093,85.0
1701726257.0758755,6107,86.75
1701726268.9026732,6111,82.75
1701726270.6193063,6113,88.0
1701726287.6397924,6133,84.5
1701726300.767472,6138,83.25
1701726302.4859579,6140,83.25
1701726304.227659,6142,84.25
1701726334.7861683,6168,88.5
1701726367.5558739,6197,87.25
1701726374.3875706,6205,87.5
1701726379.5024338,6211,90.5
1701726396.0055914,6221,86.5
1701726399.465232,6225,86.25
1701726402.8805904,6229,83.5
1701726406.276476,6233,87.0
1701726408.8149788,6236,85.5
1701726422.9639726,6243,90.5
1701726429.8151472,6251,81.75
1701726462.197388,6279,87.0
1701726463.9282498,6281,85.5
1701726469.9477935,6288,84.0
1701726484.8530185,6296,90.0
1701726485.7034793,6297,85.0
1701726488.2993436,6300,85.25
1701726500.3155832,6314,81.5
1701726520.0549805,6328,85.75
1701726523.5059628,6332,85.25
1701726524.3670774,6333,86.25
1701726525.2101085,6334,89.25
1701726544.523424,6347,86.25
1701726549.6837785,6353,85.0
1701726553.9787252,6358,86.5
1701726554.826512,6359,86.5
1701726556.5399776,6361,92.0
1701726559.0896025,6364,86.25
1701726560.818627,6366,82.25
1701726563.4045732,6369,86.0
1701726581.2040713,6380,88.25
1701726612.36405,6406,89.0
1701726636.05024,6424,88.0
1701726648.9279387,6439,87.0
1701726651.498423,6442,88.5
1701726652.333599,6443,83.25
1701726665.5229113,6449,87.5
1701726674.1191657,6459,84.0
1701726686.0403001,6473,86.0
1701726706.6919386,6487,84.0
1701726710.1049094,6491,86.25
1701726712.6552017,6494,85.75
1701726713.5296965,6495,84.25
1701726744.8359601,6522,90.25
1701726758.6149542,6528,88.25
1701726761.198921,6531,87.75
1701726768.9545374,6540,85.5
1701726774.0410297,6546,88.5
1701726778.2943056,6551,86.0
1701726787.2965555,6552,84.0
1701726788.1632643,6553,88.0
1701726797.6724074,6564,84.75
1701726800.2689545,6567,90.0
1701726801.9796484,6569,85.75
1701726824.5145652,6585,84.75
1701726826.2249396,6587,85.0
1701726828.768719,6590,85.75
1701726833.0368226,6595,85.25
1701726836.4263306,6599,85.0
1701726858.151772,6615,80.75
1701726858.9951587,6616,82.25
1701726862.4227085,6620,88.75
1701726870.0738418,6629,85.75
